Dataset,error,SAX_time,TotalLearn_time,MaxLearn_time,TotalTest_time,MaxTest_time
Coffee,0.071,0.033,1.992,1.992,0.012,0.012
Earthquakes,0.202,0.733,55.292,55.292,0.704,0.704
ECG200,0.22,0.024,9.836,9.836,0.034,0.034
ECGFiveDays,0.008,0.163,2.317,2.317,0.205,0.205
FordA,0.131,8.186,632.767,632.767,13.45,13.45
FordB,0.205,7.271,505.967,505.967,12.87,12.87
Gun_Point,0.02,0.039,3.014,3.014,0.029,0.029
Lighting2,0.246,0.262,14.32,14.32,0.058,0.058
MoteStrain,0.109,0.106,0.606,0.606,0.172,0.172
Passgraph,0.305,0.158,15.455,15.455,0.101,0.101
SonyAIBORobotSurface,0.291,0.044,0.541,0.541,0.08,0.08
SonyAIBORobotSurfaceII,0.105,0.063,0.715,0.715,0.129,0.129
TwoLeadECG,0.018,0.095,0.792,0.792,0.14,0.14
wafer,0.004,1.478,45.512,45.512,1.347,1.347
yoga,0.206,3.184,78.342,78.342,3.274,3.274
ArrowHead,0.269,0.086,8.69,3.6,0.16,0.062
Beef,0.433,0.079,27.127,6.902,0.089,0.021
CBF,0.046,0.156,4.834,2.262,0.664,0.295
ChlorineConcentration,0.322,1.102,611.048,290.312,14.536,5.688
CinC_ECG_torso,0.314,16.31,30.39,10.194,4.345,1.388
DiatomSizeReduction,0.118,0.194,3.755,1.367,0.244,0.061
ElectricDevices,0.319,1.503,1451.258,290.48,9.739,2.296
FaceAll,0.286,0.37,311.965,27.929,6.397,0.607
FaceFour,0.057,0.09,6.719,1.799,0.162,0.049
FacesUCR,0.261,0.372,101.622,9.402,5.908,0.678
FISH,0.04,0.36,104.2,18.781,0.492,0.082
Haptics,0.591,2.346,170.058,41.248,1.595,0.352
InlineSkate,0.695,8.865,108.231,21.97,2.382,0.463
Lighting7,0.315,0.093,49.815,12.886,0.241,0.062
MALLAT,0.139,11.241,58.796,8.482,11.035,1.685
MedicalImages,0.425,0.121,207.27,68.341,2.077,0.496
OliveOil,0.3,0.095,30.323,9.582,0.053,0.017
OSULeaf,0.174,0.454,161.052,33.09,1.007,0.196
StarLightCurves,0.04,40.096,385.984,160.529,19.174,8.882
SwedishLeaf,0.158,0.162,303.95,27.681,2.423,0.225
Symbols,0.078,0.79,4.493,0.989,1.297,0.263
Trace,0.0,0.096,22.223,6.55,0.105,0.035
Two_Patterns,0.115,0.783,390.353,157.932,9.055,3.599
uWaveGestureLibrary_X,0.453,2.566,1060.226,155.377,28.904,4.379
uWaveGestureLibrary_Y,0.523,2.565,1303.181,211.971,36.562,7.816
uWaveGestureLibrary_Z,0.491,2.563,1180.516,194.392,31.246,5.025
